fichier;temps..s.;x..m.;X.dx..m..1;y..m.;X.dy..m..1;z..m.;X.dz..m..1;fsigmax..Hz.;ID
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;94.81279755;-0.081673227;0.006169986;4.659180641;0.023432057;5.615839005;0.024814341;33815.4375;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;95.05599976;12.15705109;0.175279498;4.231074333;0.05964886;6.297111511;0.098483346;31624.23438;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;95.21920013;10.75696468;0.147944093;4.459429741;0.054595847;6.049853802;0.086663291;32507.60742;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;95.50720215;8.603023529;0.072705187;4.70499897;0.037914731;5.879959106;0.06019517;28099.40039;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;95.6576004;7.438967705;0.053754847;4.651304722;0.034075405;5.822178841;0.052380472;29863.41992;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;95.81759644;6.114280224;0.038890835;4.478314877;0.025316421;5.750949383;0.046863072;32558.85156;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;95.97119904;4.83294487;0.030767849;4.333734989;0.022709114;5.695036888;0.03807389;29363.4043;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;96.26560211;2.479714632;0.007952372;4.515440464;0.014946257;5.796706676;0.025705339;31748.82813;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;96.41600037;1.248068929;0.005732266;4.522627831;0.01582931;5.789161682;0.029206311;32535.42188;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;119.8079987;-0.442299038;0.002089437;-1.838268161;0.003658997;0.706186354;0.016635599;40047.86719;20180710_104_red67
